canonical_id,canonical_name,scientific_name,authorship,rank,status,is_hybrid,accepted_canonical_id,authority_mappings_count,authorities
166,Sarcoglottis riocontensis,Sarcoglottis riocontensis E. C. Smidt & Toscano,E. C. Smidt & Toscano,species,accepted,False,,2,GBIF
167,Malaxis thienii,Malaxis thienii Dodson,Dodson,species,accepted,False,,2,GBIF
168,Pinalia campanulata,Pinalia campanulata A. Saavedra & Pitogo,A. Saavedra & Pitogo,species,accepted,False,,0,
169,Ceratostylis koniguruensis,Ceratostylis koniguruensis Ormerod,Ormerod,species,accepted,False,,1,GBIF
170,Adrorhizon,Adrorhizon Hook.f.,Hook.f.,genus,accepted,False,,1,POWO
171,Sauroglossum organense,Sauroglossum organense Szlach.,Szlach.,species,accepted,False,,2,GBIF
172,Sauroglossum schweinfurthianum,Sauroglossum schweinfurthianum Garay,Garay,species,accepted,False,,2,GBIF
173,Polystachya leucosepala,Polystachya leucosepala P. J. Cribb,P. J. Cribb,species,accepted,False,,2,GBIF
174,Jumellea pailleri,Jumellea pailleri F. Rakotoar.,F. Rakotoar.,species,accepted,False,,1,GBIF
175,Campylocentrum pygmaeum,Campylocentrum pygmaeum Cogn.,Cogn.,species,accepted,False,,2,GBIF
176,Aerangis jacksonii,Aerangis jacksonii J. Stewart,J. Stewart,species,accepted,False,,1,GBIF
177,Palmorchis nitida,Palmorchis nitida Dressler,Dressler,species,accepted,False,,2,GBIF
178,Habenaria polycarpa,Habenaria polycarpa Hoehne,Hoehne,species,accepted,False,,2,GBIF
179,Tridactyle inflata,Tridactyle inflata Summerh.,Summerh.,species,accepted,False,,2,GBIF
180,Palmorchis paludicola,Palmorchis paludicola Dressler,Dressler,species,accepted,False,,2,GBIF
181,Palmorchis pandurata,Palmorchis pandurata C. Schweinf. & Correll,C. Schweinf. & Correll,species,accepted,False,,2,GBIF
182,Gastrochilus bernhardtianus,Gastrochilus bernhardtianus J. D. Ya & D. Z. Li,J. D. Ya & D. Z. Li,species,accepted,False,,0,
183,Elleanthus teotepecensis,Elleanthus teotepecensis Soto Arenas,Soto Arenas,species,accepted,False,,1,GBIF
184,Habenaria polyodon,Habenaria polyodon Hook.f.,Hook.f.,species,accepted,False,,2,GBIF
185,Habenaria crucifera,Habenaria crucifera Rchb.f. & Warm.,Rchb.f. & Warm.,species,accepted,False,,3,GBIF
186,Habenaria cruciformis,Habenaria cruciformis Ohwi,Ohwi,species,accepted,False,,2,GBIF
187,Habenaria psammophila,"Habenaria psammophila J. A. N. Bat., Bianch. & B. M. Carvalho","J. A. N. Bat., Bianch. & B. M. Carvalho",species,accepted,False,,2,GBIF
188,Habenaria pseudociliosa,Habenaria pseudociliosa Schelpe ex J. C. Manning,Schelpe ex J. C. Manning,species,accepted,False,,2,GBIF
189,Papilionanthe vietnamensis,Papilionanthe vietnamensis Aver.,Aver.,species,accepted,False,,0,
190,Vanda gracilis,Vanda gracilis Aver.,Aver.,species,accepted,False,,1,GBIF
191,Habenaria pseudoculicina,Habenaria pseudoculicina J. A. N. Bat. & B. M. Carvalho,J. A. N. Bat. & B. M. Carvalho,species,accepted,False,,2,GBIF
